取引日,摘要,お支払金額,お預り金額,残高,メモ
2025/11/01,振込 カ）テックスタート,,500000,3245800,売上入金
2025/11/05,振込手数料,440,,3245360,
2025/11/05,振込 ﾔﾏﾀﾞ ﾀﾛｳ,150000,,3095360,給与11月分
2025/11/05,振込 ｽｽﾞｷ ﾊﾅｺ,150000,,2945360,給与11月分
2025/11/05,振込 ﾀﾅｶ ｹﾝｼﾞ,180000,,2765360,給与11月分
2025/11/10,口座振替 東京電力EP,12800,,2752560,電気代11月
2025/11/10,口座振替 東京ガス,6540,,2746020,ガス代11月
2025/11/10,口座振替 NTTコミュニケーションズ,8800,,2737220,通信費11月
2025/11/15,カード引落 ｱﾒﾘｶﾝEX,345600,,2391620,法人カード10月利用分
2025/11/20,振込 カ）ABCコンサルティング,,220000,2611620,コンサル料入金
2025/11/25,口座振替 渋谷区役所,53200,,2558420,社会保険料
2025/11/25,口座振替 渋谷税務署,89000,,2469420,源泉所得税
2025/11/28,振込 カ）クリーンサポート,38500,,2430920,清掃費12月分
2025/11/29,ATM引出し,50000,,2380920,小口現金補充
2025/11/30,利息,,12,2380932,普通預金利息
